,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Wed May 18 11:49:08 +0000 2022,1526892638942777345,Mazi Uche,@bennie_baby1 @veekay8 @Morris_Monye Sha apply same energy to burger,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
1,Wed May 18 11:48:44 +0000 2022,1526892541181927426,Mazi Uche,@MuyiwaWilliams_ New York 😬,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
2,Wed May 18 06:49:45 +0000 2022,1526817297456939008,Mazi Uche,@veekay8 @Morris_Monye I'm just interpreting. I don't care what people do with their meal lol,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
3,Wed May 18 06:12:34 +0000 2022,1526807940342104064,Mazi Uche,@Morris_Monye I think he means. Someone not familiar with the culture and use to cutlery used her hands... So why Will a local form porsche,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
4,Tue May 17 23:53:46 +0000 2022,1526712613895294976,Mazi Uche,"@DeycallmiFaMe Since no kmd asked, they served you poop too?",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
5,Tue May 17 16:36:21 +0000 2022,1526602534122663937,Mazi Uche,"@ToyosiGodwin On God. Especially when you are just starting life. If na twitter for android you get, wear am with p… https://t.co/hbBoctiStd",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
6,Tue May 17 16:12:23 +0000 2022,1526596502046515200,Mazi Uche,@MrOdanz Oh God guy. Kaka was world class too even Beckham no get this pr,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
7,Tue May 17 12:39:56 +0000 2022,1526543036058062850,Mazi Uche,@_jennie1 https://t.co/hnMmrWbFZH,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
8,Tue May 17 11:21:44 +0000 2022,1526523355607842817,Mazi Uche,@MastaPraise @_AsiwajuLerry 🤣 🤣 🤣,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
9,Tue May 17 09:22:58 +0000 2022,1526493470843609089,Mazi Uche,@MastaPraise @_AsiwajuLerry Stars,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
10,Tue May 17 09:22:52 +0000 2022,1526493445669457926,Mazi Uche,@MastaPraise @_AsiwajuLerry Him never jam kpop starts,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
11,Tue May 17 08:43:37 +0000 2022,1526483566737113088,Mazi Uche,@MrOdanz Oh wow. Some Samsung run their proprietary os,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
12,Tue May 17 08:42:54 +0000 2022,1526483386570874880,Mazi Uche,"@JustinNoble17 @MrOdanz Buy LG TV of 50 or 70k, buy Mitv dongle of 15k. Boom! Android TV",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
